20200518  11:16:00,1.315,1.32,1.31,1.3101,63
20200518  11:17:00,1.315,1.315,1.3,1.3,695
20200518  11:18:00,1.305,1.305,1.29,1.295,268
20200518  11:19:00,1.295,1.3,1.29,1.2901,365
20200518  11:20:00,1.3,1.31,1.29,1.3,651
20200518  11:21:00,1.3,1.31,1.3,1.3,214
20200518  11:22:00,1.305,1.31,1.3,1.3001,214
20200518  11:23:00,1.3039,1.31,1.3,1.305,53
20200518  11:24:00,1.305,1.31,1.3,1.3,202
20200518  11:25:00,1.31,1.31,1.3,1.3001,170
20200518  11:26:00,1.3,1.32,1.3,1.3158,467
20200518  11:27:00,1.31,1.32,1.31,1.315,276
20200518  11:28:00,1.315,1.32,1.31,1.315,126
20200518  11:29:00,1.3199,1.32,1.31,1.31,39
20200518  11:30:00,1.32,1.32,1.31,1.315,475
20200518  11:31:00,1.315,1.32,1.315,1.316,91
20200518  11:32:00,1.315,1.33,1.31,1.33,312
20200518  11:33:00,1.33,1.33,1.31,1.325,210
20200518  11:34:00,1.325,1.33,1.31,1.32,245
20200518  11:35:00,1.325,1.35,1.32,1.34,613
20200518  11:36:00,1.35,1.35,1.32,1.3201,512
20200518  11:37:00,1.326,1.34,1.32,1.34,256
20200518  11:38:00,1.335,1.34,1.33,1.335,161
20200518  11:39:00,1.335,1.34,1.3338,1.335,340
20200518  11:40:00,1.335,1.34,1.3301,1.3399,87
20200518  11:41:00,1.3301,1.34,1.33,1.33,196
20200518  11:42:00,1.33,1.34,1.33,1.3324,41
20200518  11:43:00,1.335,1.34,1.33,1.3301,243
20200518  11:44:00,1.33,1.3301,1.32,1.325,289
20200518  11:45:00,1.325,1.33,1.32,1.3201,62
20200518  11:46:00,1.3201,1.33,1.32,1.325,328
20200518  11:47:00,1.325,1.33,1.32,1.32,63
20200518  11:48:00,1.325,1.3299,1.32,1.325,37
20200518  11:49:00,1.325,1.33,1.32,1.3209,122
20200518  11:50:00,1.325,1.33,1.3201,1.3209,43
20200518  11:51:00,1.325,1.33,1.32,1.3201,62
20200518  11:52:00,1.3219,1.33,1.32,1.33,36
20200518  11:53:00,1.3299,1.33,1.32,1.3299,27
20200518  11:54:00,1.32,1.3299,1.32,1.32,71
20200518  11:55:00,1.325,1.33,1.32,1.32,356
20200518  11:56:00,1.32,1.33,1.31,1.31,416
20200518  11:57:00,1.315,1.32,1.31,1.3101,177
20200518  11:58:00,1.31,1.32,1.31,1.31,36
20200518  11:59:00,1.3173,1.32,1.31,1.32,51
20200518  12:00:00,1.31,1.32,1.31,1.3178,34
20200518  12:01:00,1.315,1.32,1.31,1.3199,46
20200518  12:02:00,1.31,1.32,1.31,1.31,39
20200518  12:03:00,1.31,1.32,1.31,1.31,787
20200518  12:04:00,1.315,1.32,1.31,1.3101,158
20200518  12:05:00,1.3101,1.32,1.31,1.3156,13
20200518  12:06:00,1.32,1.33,1.31,1.315,612
20200518  12:07:00,1.315,1.33,1.315,1.32,104
20200518  12:08:00,1.315,1.3201,1.3101,1.3201,75
20200518  12:09:00,1.325,1.33,1.32,1.32,221
20200518  12:10:00,1.325,1.33,1.32,1.3299,268
20200518  12:11:00,1.325,1.33,1.32,1.32,180
20200518  12:12:00,1.3282,1.33,1.32,1.325,199
20200518  12:13:00,1.32,1.33,1.32,1.32,65
20200518  12:14:00,1.32,1.33,1.32,1.32,113
20200518  12:15:00,1.33,1.33,1.32,1.3299,156
20200518  12:16:00,1.33,1.33,1.32,1.32,270
20200518  12:17:00,1.325,1.33,1.32,1.32,62
20200518  12:18:00,1.32,1.33,1.32,1.33,80
20200518  12:19:00,1.32,1.33,1.32,1.32,122
20200518  12:20:00,1.33,1.33,1.32,1.32,100
20200518  12:21:00,1.33,1.33,1.32,1.323,152
20200518  12:22:00,1.33,1.33,1.32,1.325,73
20200518  12:23:00,1.32,1.33,1.3,1.3,1009
20200518  12:24:00,1.3099,1.31,1.3,1.3,128
20200518  12:25:00,1.3,1.31,1.3,1.305,326
20200518  12:26:00,1.305,1.31,1.3,1.305,67
20200518  12:27:00,1.3,1.31,1.3,1.3001,281
